Gene_ID,C11,C15,C19,C23,N11,N15,N19,N23
NR_075077,0,5,0,4,8,2,2,6
NM_001276352,0,5,0,4,8,2,2,6
NM_001276351,0,5,0,4,8,2,2,6
NM_000299,1220,5980,5089,2792,5223,9731,4365,4755
NM_001005337,1220,5980,5089,2792,5223,9731,4365,4755
NM_012102,7436,15741,13205,14024,15995,14659,9167,12504
NM_001281956,98,281,145,112,96,177,166,146
NM_001042681,7436,15741,13205,14024,15995,14659,9167,12504
NM_052896,98,281,145,112,96,177,166,146
NM_001042682,6448,14329,11831,12741,14847,13647,8420,11664
NR_038261,248,440,270,240,189,158,126,164
NM_152697,209,124,375,105,85,80,88,100
NM_053274,295,261,291,262,210,133,143,192
NM_001130058,350,136,608,124,104,82,114,100
NM_024686,194,385,231,253,175,208,134,163
NM_006699,421,674,560,457,258,345,265,231
NM_003568,416,1044,763,488,484,543,354,498
NM_001146191,2797,2964,2993,3215,2132,1713,1802,1836
NM_003953,2797,2964,2993,3215,2132,1713,1802,1836
NM_022457,527,509,554,653,507,412,389,436
NM_024569,2797,2964,2993,3215,2132,1713,1802,1836
NM_030806,2037,2312,2365,2180,1971,2037,1487,1668
NM_001286644,527,509,554,653,507,412,389,436
NR_126003,27,18,40,25,15,12,8,11
NM_001001740,527,509,554,653,507,412,389,436
NM_005525,97,154,126,120,81,73,159,113
NM_001206741,103,161,134,140,86,78,159,122
NM_006642,928,1452,1321,1475,1275,1055,752,1104
NM_181755,103,161,134,140,86,78,159,122
NM_001242874,1191,3190,2365,2364,2124,3472,1743,2571
NM_002744,1273,3399,2516,2518,2282,3812,1861,2741
NM_007274,209,340,430,370,432,456,389,507
NM_001033581,1193,3192,2365,2364,2124,3474,1743,2575
NM_001305275,1930,7825,5552,5262,7502,8894,5753,7538
NM_199454,64,184,108,107,264,162,166,270
NM_198576,1930,7825,5552,5262,7502,8894,5753,7538
NM_015215,837,942,953,911,934,712,546,843
NM_181866,199,304,392,346,382,406,355,468
NM_181865,199,306,393,348,382,406,357,468
NM_181864,207,320,408,357,394,426,369,483
NM_022114,64,184,108,107,264,162,166,270
NM_020780,67,230,191,287,118,81,58,307
NM_201628,793,955,989,1386,1407,583,915,1219
NM_004565,550,1077,1269,1096,2210,1467,1524,2767
NM_015164,1079,2414,2663,2481,2865,2720,2232,3006
NM_015209,596,758,717,1012,883,370,550,815
NM_004753,2874,7258,5945,4971,6590,5009,4477,7010
NM_015013,2357,2666,2956,2734,2166,1464,1348,2018
NM_003760,1592,1995,2288,1967,1521,995,1195,1370
NM_014589,0,2,0,0,0,0,0,0
NM_170726,1229,2590,2730,1305,2503,7134,2585,3601
NM_001009999,2357,2666,2956,2734,2166,1464,1348,2018
NM_001198803,506,729,765,662,550,422,426,507
NM_001198802,1734,2162,2487,2143,1672,1113,1250,1468
NM_001198801,1734,2162,2487,2143,1672,1113,1250,1468
NM_030812,2,3,9,0,6,0,5,4
NM_001161504,1184,2539,2651,1271,2434,6973,2524,3532
NM_003748,1229,2590,2730,1305,2503,7134,2585,3601
NM_001276252,1326,2895,2670,2439,3652,3072,2424,3434
NM_015023,1326,2895,2670,2439,3652,3072,2424,3434
NM_017646,872,890,985,1086,579,490,376,452
NM_001099439,467,726,672,529,257,150,193,126
NM_032785,161,183,223,236,272,149,198,284
NM_005764,296,92,812,155,503,392,340,199
NM_001135181,61,228,127,294,125,181,130,223
NM_001303427,745,1214,1100,954,474,533,530,572
NM_020883,595,816,897,667,685,734,607,591
NR_125987,14,10,16,10,8,4,7,23
NM_001011547,61,228,127,294,125,181,130,223
NM_001159969,1849,1782,1712,1856,1109,1073,858,848
NM_001981,2178,2258,2153,2342,1313,1385,1060,1053
NM_015269,906,1076,1306,1156,986,856,815,937
NM_001009881,906,1076,1306,1156,986,856,815,937
NM_021080,602,1188,1483,744,849,641,771,867
NM_001083592,288,276,307,293,418,282,249,350
NM_001297440,1242,1016,1645,1143,1190,1402,1392,1500
NM_176877,2033,3248,3189,2184,1600,2199,1386,1269
NM_001037341,1242,1016,1645,1143,1190,1402,1392,1500
NM_001297441,1238,1012,1640,1141,1190,1395,1381,1480
NR_110628,12,10,27,5,7,7,7,13
NM_005012,499,417,525,501,667,362,418,667
NM_002600,1242,1016,1645,1143,1190,1402,1392,1500
NM_001037340,1236,1010,1636,1137,1181,1393,1376,1468
NM_001112808,388,269,362,441,263,205,174,266
NM_024911,2483,4145,3869,3619,3590,3011,2836,3164
NR_040077,2846,4502,4264,4138,4213,3238,3115,3625
NM_001193334,2483,4145,3868,3619,3589,3010,2836,3164
NM_001199327,376,264,349,431,260,203,166,254
NM_001002292,2789,4614,4265,4156,4101,3279,3121,3531
NM_015978,53,33,40,66,85,31,31,77
NM_001160011,40,72,59,61,60,49,41,53
NM_001297704,976,1045,1292,1796,1250,1278,1464,1005
NM_006820,68,91,138,171,77,45,84,112
NM_152996,53,98,74,94,79,57,49,70
NM_001308237,1110,943,980,1002,644,437,416,561
NM_015534,1110,938,970,993,633,421,404,550
NM_153259,273,358,247,183,121,57,120,23
NM_001134492,541,663,688,661,365,281,284,310
NM_012262,1069,1130,1142,1154,612,441,498,516
NM_152890,52,108,79,123,105,23,51,125
NR_031666,532,781,915,893,478,879,562,526
NR_034089,1469,1206,1477,1404,1117,745,838,998
NM_000110,1168,1721,1376,1613,904,815,905,986
NR_126382,8,10,6,9,6,4,8,6
NM_001160234,11994,21104,17840,13326,10489,15667,10369,9352
NM_001160233,12008,21150,17898,13341,10496,15679,10387,9358
NM_000701,12081,21542,18173,13500,10839,16160,10634,9560
NM_006090,744,530,757,673,386,315,349,304
NM_001007794,764,566,794,710,424,358,370,340
NR_103556,88,72,89,97,121,117,81,127
NM_001198832,567,965,971,893,615,435,593,476
NM_020205,952,1419,1426,1668,1166,872,680,984
NM_001195261,9,25,22,28,22,26,22,16
NM_022359,79,103,141,132,85,82,88,76
NM_014644,515,893,863,796,563,383,537,420
NM_001198834,515,893,863,796,563,383,537,420
NM_001195260,9,25,24,28,22,26,22,18
NM_014455,536,738,803,800,534,561,445,466
NM_001002812,432,752,700,631,388,336,412,310
NM_001002810,9,25,22,28,22,26,22,16
NR_104189,246,305,415,463,350,277,276,333
